Ticker,Name,Size,Sector,Industry
ORLY,O'Reilly Automotive Inc,Large,Consumer Discretionary,Specialty Retail
ODP,Office Depot Inc,Mid,Consumer Discretionary,Specialty Retail
PRTY,Party City Holdco Inc,Small,Consumer Discretionary,Specialty Retail
PAG,Penske Automotive Group Inc,Small,Consumer Discretionary,Specialty Retail
RH,Restoration Hardware Holdings Inc,Small,Consumer Discretionary,Specialty Retail
ROST,Ross Stores Inc,Large,Consumer Discretionary,Specialty Retail
SBH,Sally Beauty Holdings Inc,Mid,Consumer Discretionary,Specialty Retail
SIG,Signet Jewelers Ltd,Mid,Consumer Discretionary,Specialty Retail
SPLS,Staples Inc,Mid,Consumer Discretionary,Specialty Retail
TIF,Tiffany & Co,Mid,Consumer Discretionary,Specialty Retail
TJX,TJX Companies Inc,Large,Consumer Discretionary,Specialty Retail
TSCO,Tractor Supply Co,Mid,Consumer Discretionary,Specialty Retail
ULTA,Ulta Salon Cosmetics and Fragrance Inc,Mid,Consumer Discretionary,Specialty Retail
URBN,Urban Outfitters Inc,Mid,Consumer Discretionary,Specialty Retail
WSM,Williams-Sonoma Inc,Mid,Consumer Discretionary,Specialty Retail
CRI,Carter's Inc,Mid,Consumer Discretionary,Apparel
COH,Coach Inc,Mid,Consumer Discretionary,Apparel
COLM,Columbia Sportswear Co,Mid,Consumer Discretionary,Apparel
DECK,Deckers Outdoor Corp,Small,Consumer Discretionary,Apparel
FOSL,Fossil Group Inc,Small,Consumer Discretionary,Apparel
GIII,G-III Apparel Group Ltd,Small,Consumer Discretionary,Apparel
GIL,Gildan Activewear Inc,Mid,Consumer Discretionary,Apparel
HBI,HanesBrands Inc,Mid,Consumer Discretionary,Apparel
KATE,Kate Spade & Co,Small,Consumer Discretionary,Apparel
LULU,Lululemon Athletica Inc,Mid,Consumer Discretionary,Apparel
KORS,Michael Kors Holdings Ltd,Mid,Consumer Discretionary,Apparel
NKE,Nike Inc,Large,Consumer Discretionary,Apparel
OXM,Oxford Industries Inc,Small,Consumer Discretionary,Apparel
PVH,PVH Corp,Mid,Consumer Discretionary,Apparel
RL,Ralph Lauren Corp,Mid,Consumer Discretionary,Apparel
SKX,Skechers USA Inc,Mid,Consumer Discretionary,Apparel
SHOO,Steven Madden Ltd,Small,Consumer Discretionary,Apparel
TUMI,Tumi Holdings Inc,Small,Consumer Discretionary,Apparel
UA,Under Armour Inc,Large,Consumer Discretionary,Apparel
VFC,VF Corp,Large,Consumer Discretionary,Apparel
WWW,Wolverine World Wide Inc,Small,Consumer Discretionary,Apparel
SAM,Boston Beer Co Inc,Small,Consumer Staples,Beverages
COKE,Coca Cola Bottling Co Consolidated,Small,Consumer Staples,Beverages
KO,Coca-Cola Co,Large,Consumer Staples,Beverages
CCE,Coca-Cola Enterprises Inc,Mid,Consumer Staples,Beverages
STZ,Constellation Brands Inc,Large,Consumer Staples,Beverages
COT,Cott Corp,Small,Consumer Staples,Beverages
DPS,Dr Pepper Snapple Group Inc,Mid,Consumer Staples,Beverages
TAP,Molson Coors Brewing Co,Large,Consumer Staples,Beverages
MNST,Monster Beverage Corp,Large,Consumer Staples,Beverages
FIZZ,National Beverage Corp,Small,Consumer Staples,Beverages
PEP,PepsiCo Inc,Large,Consumer Staples,Beverages
CASY,Caseys General Stores Inc,Mid,Consumer Staples,Staples
COST,Costco Wholesale Corp,Large,Consumer Staples,Staples
CVS,CVS Health Corp,Large,Consumer Staples,Staples
TFM,Fresh Market Inc,Small,Consumer Staples,Staples
PFGC,Performance Food Group Co,Small,Consumer Staples,Staples
PSMT,PriceSmart Inc,Small,Consumer Staples,Staples
RAD,Rite Aid Corp,Mid,Consumer Staples,Staples
SFS,Smart & Final Stores Inc,Small,Consumer Staples,Staples
SPTN,SpartanNash Co,Small,Consumer Staples,Staples
SFM,Sprouts Farmers Market Inc,Mid,Consumer Staples,Staples
SVU,Supervalu Inc,Small,Consumer Staples,Staples
SYY,Sysco Corp,Large,Consumer Staples,Staples
KR,The Kroger Co,Large,Consumer Staples,Staples
UNFI,United Natural Foods Inc,Small,Consumer Staples,Staples
WMT,Wal Mart Stores Inc,Large,Consumer Staples,Staples
WBA,Walgreens Boots Alliance Inc,Large,Consumer Staples,Staples
WMK,Weis Markets Inc,Small,Consumer Staples,Staples
WFM,Whole Foods Market Inc,Mid,Consumer Staples,Staples
AGRO,Adecoagro SA,Small,Consumer Staples,Food Products
BETR,Amplify Snack Brands Inc,Small,Consumer Staples,Food Products
ADM,Archer Daniels Midland Co,Large,Consumer Staples,Food Products
BGS,B&G Foods Inc,Small,Consumer Staples,Food Products
BUFF,Blue Buffalo Pet Products Inc,Mid,Consumer Staples,Food Products
BG,Bunge Ltd,Mid,Consumer Staples,Food Products
CALM,Cal-Maine Foods Inc,Small,Consumer Staples,Food Products
CPB,Campbell Soup Co,Large,Consumer Staples,Food Products
CAG,ConAgra Foods Inc,Large,Consumer Staples,Food Products
DAR,Darling Ingredients Inc,Small,Consumer Staples,Food Products
DF,Dean Foods Co,Small,Consumer Staples,Food Products
FLO,Flowers Foods Inc,Mid,Consumer Staples,Food Products
FDP,Fresh Del Monte Produce Inc,Small,Consumer Staples,Food Products
GIS,General Mills Inc,Large,Consumer Staples,Food Products
HAIN,Hain Celestial Group Inc,Mid,Consumer Staples,Food Products
HSY,Hershey Co,Mid,Consumer Staples,Food Products
HRL,Hormel Foods Corp,Large,Consumer Staples,Food Products
INGR,Ingredion Inc,Mid,Consumer Staples,Food Products
JJSF,J & J Snack Foods Corp,Small,Consumer Staples,Food Products
SJM,J M Smucker Co,Mid,Consumer Staples,Food Products
K,Kellogg Co,Large,Consumer Staples,Food Products
KHC,Kraft Heinz Co,Large,Consumer Staples,Food Products
LANC,Lancaster Colony Corp,Small,Consumer Staples,Food Products
MKC,McCormick & Company Inc,Mid,Consumer Staples,Food Products
MJN,Mead Johnson Nutrition Co,Mid,Consumer Staples,Food Products
MDLZ,Mondelez International Inc,Large,Consumer Staples,Food Products
NOMD,Nomad Foods Ltd,Small,Consumer Staples,Food Products
PPC,Pilgrims Pride Corp,Mid,Consumer Staples,Food Products
PF,Pinnacle Foods Inc,Mid,Consumer Staples,Food Products
POST,Post Holdings Inc,Mid,Consumer Staples,Food Products
SAFM,Sanderson Farms Inc,Small,Consumer Staples,Food Products
SEB,Seaboard Corp,Mid,Consumer Staples,Food Products
LNCE,Snyder's-Lance Inc,Small,Consumer Staples,Food Products
TR,Tootsie Roll Industries Inc,Small,Consumer Staples,Food Products
THS,TreeHouse Foods Inc,Mid,Consumer Staples,Food Products
TSN,Tyson Foods Inc,Large,Consumer Staples,Food Products
WWAV,WhiteWave Foods Co,Mid,Consumer Staples,Food Products
CHD,Church & Dwight Co Inc,Mid,Consumer Staples,Household Products
CLX,Clorox Co,Mid,Consumer Staples,Household Products
CL,Colgate-Palmolive Co,Large,Consumer Staples,Household Products
ENR,Energizer Holdings Inc,Small,Consumer Staples,Household Products
HRG,HRG Group Inc,Small,Consumer Staples,Household Products
KMB,Kimberly-Clark Corp,Large,Consumer Staples,Household Products
PG,Procter & Gamble Co,Large,Consumer Staples,Household Products
SPB,Spectrum Brands Holdings Inc,Mid,Consumer Staples,Household Products
WDFC,WD-40 Co,Small,Consumer Staples,Household Products
AVP,Avon Products Inc,Small,Consumer Staples,Personal Products
COTY,Coty Inc,Mid,Consumer Staples,Personal Products
EPC,Edgewell Personal Care Co,Mid,Consumer Staples,Personal Products
EL,Estee Lauder Companies Inc,Large,Consumer Staples,Personal Products
HLF,Herbalife Ltd,Mid,Consumer Staples,Personal Products
NUS,NU Skin Enterprises Inc,Small,Consumer Staples,Personal Products
REV,Revlon Inc,Small,Consumer Staples,Personal Products
UN,Unilever NV,Large,Consumer Staples,Personal Products
USNA,USANA Health Sciences Inc,Small,Consumer Staples,Personal Products
MO,Altria Group Inc,Large,Consumer Staples,Tobacco
PM,Philip Morris International Inc,Large,Consumer Staples,Tobacco
RAI,Reynolds American Inc,Large,Consumer Staples,Tobacco
UVV,Universal Corp,Small,Consumer Staples,Tobacco
VGR,Vector Group Ltd,Small,Consumer Staples,Tobacco
BHI,Baker Hughes Inc,Large,Energy,Energy Equipment
CAM,Cameron International Corp,Mid,Energy,Energy Equipment
CLB,Core Laboratories NV,Mid,Energy,Energy Equipment
DO,Diamond Offshore Drilling Inc,Small,Energy,Energy Equipment
DRQ,Dril-Quip Inc,Small,Energy,Energy Equipment
FTI,FMC Technologies Inc,Mid,Energy,Energy Equipment
FET,Forum Energy Technologies Inc,Small,Energy,Energy Equipment
FI,Frank's International NV,Small,Energy,Energy Equipment
HAL,Halliburton Co,Large,Energy,Energy Equipment
HP,Helmerich and Payne Inc,Mid,Energy,Energy Equipment
NBR,Nabors Industries Ltd,Small,Energy,Energy Equipment
NOV,National Oilwell Varco Inc,Mid,Energy,Energy Equipment
NE,Noble Corporation PLC,Small,Energy,Energy Equipment
OII,Oceaneering International Inc,Small,Energy,Energy Equipment
OIS,Oil States International Inc,Small,Energy,Energy Equipment
PTEN,Patterson-UTI Energy Inc,Small,Energy,Energy Equipment
PDS,Precision Drilling Corp,Small,Energy,Energy Equipment
RDC,Rowan Companies PLC,Small,Energy,Energy Equipment
RES,RPC Inc,Small,Energy,Energy Equipment
SLB,Schlumberger NV,Large,Energy,Energy Equipment
SDRL,Seadrill Ltd,Small,Energy,Energy Equipment
SPN,Superior Energy Services Inc,Small,Energy,Energy Equipment
RIG,Transocean Ltd,Small,Energy,Energy Equipment
SLCA,U.S. Silica Holdings Inc,Small,Energy,Energy Equipment
APC,Anadarko Petroleum Corp,Large,Energy,Oil & Gas
AM,Antero Midstream Partners LP,Mid,Energy,Oil & Gas
AR,Antero Resources Corp,Mid,Energy,Oil & Gas
APA,Apache Corp,Mid,Energy,Oil & Gas
BSM,Black Stone Minerals LP,Small,Energy,Oil & Gas
BWP,Boardwalk Pipeline Partners LP,Mid,Energy,Oil & Gas
BPL,Buckeye Partners LP,Mid,Energy,Oil & Gas
COG,Cabot Oil & Gas Corp,Mid,Energy,Oil & Gas
CCJ,Cameco Corp,Mid,Energy,Oil & Gas
CNQ,Canadian Natural Resources Ltd,Large,Energy,Oil & Gas
CRZO,Carrizo Oil & Gas Inc,Small,Energy,Oil & Gas
CVE,Cenovus Energy Inc,Mid,Energy,Oil & Gas
LNG,Cheniere Energy Inc,Mid,Energy,Oil & Gas
CQP,Cheniere Energy Partners LP,Mid,Energy,Oil & Gas
CQH,Cheniere Energy Partners LP Holdings LLC,Mid,Energy,Oil & Gas
CHK,Chesapeake Energy Corp,Small,Energy,Oil & Gas
CVX,Chevron Corp,Large,Energy,Oil & Gas
XEC,Cimarex Energy Co,Mid,Energy,Oil & Gas
CIE,Cobalt International Energy Inc,Small,Energy,Oil & Gas
CPGX,Columbia Pipeline Group Inc,Mid,Energy,Oil & Gas
CPPL,Columbia Pipeline Partners LP,Small,Energy,Oil & Gas
CXO,Concho Resources Inc,Mid,Energy,Oil & Gas
COP,ConocoPhillips,Large,Energy,Oil & Gas
CNX,CONSOL Energy Inc,Small,Energy,Oil & Gas
CLR,Continental Resources Inc,Mid,Energy,Oil & Gas
CZZ,Cosan Limited,Small,Energy,Oil & Gas
